id,name,size,serving_per_bag,calorie,carbohydrate,protein,fat,saturated fat,trans fat,sodium,sugar,含麩質之穀物及其製品,堅果類、種子類及其製品,大豆及其製品,奇異果及其製品,牛奶、羊奶及其製品,甲殼類及其製品(蝦類、蟹類),芒果及其製品,芝麻及其製品,花生及其製品,蛋類及其製品,軟體動物類及其製品(頭足類、螺貝類),魚類及其製品
556739,芋泥Ｑ心球,37,3,123.7,19,1.8,4.5,2.5,0.06,182.6,9.7,1,1,1,0,1,0,1,1,1,1,0,1
556743,紅豆ｍｉｎｉ銅鑼燒,13,6,38.6,6.5,0.9,1,0.2,0,36,3.4,1,1,1,0,1,0,1,1,1,1,0,0
578549,可可熔岩烏龍茶戚風蛋糕,90,1,331.8,32.2,7.1,19.4,6.9,0,209.6,18.5,1,1,1,0,1,0,1,1,1,1,0,1
578862,烏龍茶可可千層蛋糕,55,1,152.7,12.9,2.1,10.3,7.8,0,86,8.3,1,1,1,0,1,0,1,1,0,1,0,1
1950316,巧克力捲,25,2,94,14.9,2.9,2.5,0.9,0,32,3.4,1,0,1,0,1,0,0,0,0,0,0,0
1950348,蜂蜜牛奶球,11,5,39,7,1,0.8,0.3,0,13,1.4,1,0,0,0,1,0,0,0,0,0,0,0
1950352,草莓夾心,18,4,55,10.2,1.6,0.9,0.3,0,19,3,1,0,0,0,0,0,0,0,0,0,0,0
2620283,福樂頂級希臘式優格,135,1,115,9.9,7.3,5.1,3.4,0,69,8.8,1,1,1,0,1,0,1,1,0,0,0,0
2620451,福樂頂級鮮奶優酪,135,1,84,5.5,4.2,5,3.5,0,55,4.2,1,1,1,0,1,0,1,1,0,0,0,0
23744,雞蛋牛奶手排包,130,1,443,66.4,11.1,14.8,6.2,0,407,16.9,1,1,1,0,1,0,1,1,1,1,0,0
40786,巧克力派司,75,1,405,37,5.9,25.9,13.4,0,265,9.4,1,1,1,0,1,0,1,1,1,1,0,0
76456,蔥花麵包,100,1,367,49.1,9,14.9,6.5,0,427,11.7,1,0,1,0,1,0,0,0,0,1,0,0
102306,鹹奶油菠蘿小土司,100,1,433,57,9.1,18.7,10.3,0.5,207,17.4,1,0,1,0,1,0,0,0,0,1,0,0
124748,維也納奶油軟法,95,1,393,50.6,8.3,17.5,10.4,0.7,446,8.5,1,0,1,0,1,0,0,0,0,0,0,0
143623,紫薯芋泥軟歐,90,1,250,44.6,6.3,5.1,1.6,0,251,13.4,1,1,1,0,1,0,0,1,1,1,0,0
208023,黃金奶油鹽可頌,78,1,267,33.6,7.3,11.5,7.3,0,504,4.2,1,0,1,0,1,0,0,0,0,0,0,0
226857,菠蘿麵包,100,1,373,52.9,10.1,13.4,6.8,0,195,14.5,1,0,1,0,1,0,0,0,0,1,0,0
274664,墨西哥葡萄奶酥麵包,115,1,465,56.7,9.2,22.3,10.5,0,459,26,1,1,1,0,1,0,1,1,1,1,0,0
275688,帕瑪森起司方塊堡,85,1,265,36.6,7.7,9.8,4.5,0,347,10.7,1,1,1,0,1,0,1,1,1,1,0,0
309704,韓國麵包球,25,5,102,14.4,1.5,4.3,0.9,0,56,4.6,1,0,1,0,1,0,0,1,0,1,0,0
318896,琥珀楓糖小可頌,48,1,221,23.7,4.2,12.2,5.2,0,203,4.9,1,1,1,0,1,0,1,1,1,1,0,0
333127,葡萄丹麥捲,75,1,304,35.3,5.5,15.6,6.6,0,332,15.7,1,1,1,0,1,0,1,1,1,1,0,0
344489,巧克力菠蘿,100,1,346,47.9,9.4,13,6.3,0,195,15.5,1,0,1,0,1,0,0,0,0,1,0,0
353171,香蒜起司麵包,90,1,292,36.5,10.5,11.4,6,0,530,3.4,1,0,1,0,1,0,0,0,0,0,0,0
426821,海鹽奶香羅宋,100,1,389,51.6,8.4,16.5,7.4,0,678,11.3,1,1,1,0,1,0,1,1,1,1,0,0
428750,醇厚巧克力球,85,1,294,46.2,3.8,10.5,5.4,0,264,15.7,1,1,1,0,1,0,1,1,1,1,0,0
440483,法式巧克力拔絲麵包,120,1,403,60.8,12.4,12.2,7.8,0,305,13.2,1,0,1,0,1,0,0,0,0,1,0,0
459420,厚切醇乳香土司,191,2,548,96.3,18.9,9.7,4.6,0,663,13,1,0,1,0,1,0,0,0,0,0,0,0
469136,鮮奶餐包,32,5,96,15.5,3.3,2.3,1.4,0,132,2.6,1,0,1,0,1,0,0,0,0,0,0,0
475420,毛毛蟲奶露麵包,85,1,301,39.9,7.5,12.4,6.4,0,302,9.8,1,1,1,0,1,0,0,1,1,1,0,0
488198,芝心乳酪丹麥,60,1,251,27.6,5.8,13.1,1.6,0,285,5.4,1,1,1,0,1,0,1,1,1,1,0,0
504928,芋泥金沙麻吉麵包,94,1,271,50.1,6.8,4.8,1.9,0,204,15.2,1,0,1,0,1,0,0,0,0,1,0,0
504932,花生煉乳軟法,95,1,314,44.2,10,10.8,5.7,0,447,8,1,1,1,0,1,0,0,1,1,1,0,0
507958,花生煉乳厚片,85,1,325,35.5,9.9,15.9,5.1,0,397,9,1,1,1,0,1,0,1,1,1,1,0,0
507962,脆皮巧克力麵包,65,1,229,36.1,5,7.2,4,0,185,9.4,1,1,1,0,1,0,1,1,1,1,0,0
523980,菠蘿奶酥麵包,100,1,383,55.2,8.2,14.4,5.2,0,233,22.4,1,1,1,0,1,0,1,1,1,1,0,0
524895,蜂蜜檸檬雙享夾心土司,36,1,113,14.8,2.9,4.7,2.2,0,101,3.8,1,0,1,0,1,0,0,0,0,0,0,0
526360,海鹽檸檬滿餡麵包,95,1,296,42.6,6.2,11.2,5.1,0,257,12.4,1,0,1,0,1,0,0,0,0,1,0,0
538991,蜜香紅茶蘋果鬆餅,112,1,360,60.4,4.9,11,3,0,364,38.8,1,0,1,0,1,0,0,0,0,1,0,0
539006,香橙乳酪球,90,1,237,40.9,6.6,5.2,3.2,0,279,10.4,1,1,1,0,1,0,0,1,1,1,0,0
539024,百香橘丁Ｑ貝果,85,1,227,42.9,8.2,2.5,0.9,0,439,5.5,1,1,1,0,1,0,1,1,1,1,0,0
555838,醇黑可可軟法,90,1,328,41.8,8.5,14,7.7,0,358,7.5,1,1,1,0,1,0,0,1,1,1,0,0
556725,大納言紅豆鬆餅,120,1,359,56.4,6.8,11.8,3.1,0,369,31.6,1,0,1,0,1,0,0,0,0,1,0,0
556866,大納言紅豆奶油滿餡麵包,108,1,360,51.7,8.4,13.3,5.6,0,269,20.1,1,0,1,0,1,0,0,0,0,1,0,0
557076,墨西哥辣蔬滿餡麵包,94,1,223,34.5,7.9,5.9,2.1,0,492,9.5,1,0,1,0,1,0,0,0,0,1,0,0
557212,紅豆丹麥捲,80,1,302,36.3,6.4,14.5,6.2,0,318,10,1,1,1,0,1,0,1,1,1,1,0,0
564443,藍莓桑葚乳酪Ｑ貝果,85,1,236,42.7,7.7,3.9,1.4,0,347,5.5,1,1,1,0,1,0,1,1,1,1,0,0
567300,藍莓夾心土司,78,1,216,33.5,5.1,6.9,3.2,0,258,10.4,1,0,1,0,1,0,0,0,0,0,0,0
575628,香醇奶油抹醬麵包,85,1,277,39.1,7.3,10.2,4.3,0,437,7.3,1,1,1,0,1,0,1,1,1,1,0,0
1820062,丹麥菠蘿可頌,92,1,390,46,7.9,19.4,9.5,0,196,25.6,1,1,1,0,1,0,1,1,1,1,0,0
1870021,紅豆麵包,104,1,291,52.1,8.5,5.4,2,0,204,10.1,1,0,1,0,1,0,0,1,0,1,0,0
1870053,草莓麵包,91,1,244,45.5,6.4,4.2,1.5,0,192,6.6,1,0,1,0,1,0,0,0,0,1,0,0
1870071,海苔肉鬆沙拉麵包,90,1,375,40.5,9.5,19.4,3.7,0,422,11,1,0,1,0,1,0,0,1,0,1,0,0
1870085,醇黑可可好棒棒,125,1,528,68.5,10.4,23.6,9.5,0,330,19,1,0,1,0,1,0,0,0,0,1,0,0
1870162,克林姆麵包,96,1,254,44.7,7,5.3,2.3,0,205,12,1,0,1,0,1,0,0,0,0,1,0,0
1870194,奶酥麵包,96,1,384,47.3,8.8,17.8,8.8,0,240,17.2,1,0,1,0,1,0,0,0,0,1,0,0
1870203,香濃牛奶好棒棒,120,1,474,61.6,10.8,20.5,8.7,0,323,13,1,0,1,0,1,0,0,0,0,1,0,0
1870271,起酥葡萄奶酥,106,1,424,48.3,8.7,21.7,10.6,0,314,12.2,1,0,1,0,1,0,0,1,0,1,0,0
1871009,果粒草莓滿餡麵包,99,1,299,45.4,6.9,9.9,4,0,206,18.9,1,1,1,0,1,0,0,0,0,1,0,0
1871063,深焙花生滿餡麵包,102,1,461,44,10.8,26.8,8.8,0,332,16.2,1,0,1,0,1,0,0,0,1,1,0,0
1871445,起酥肉鬆麵包,95,1,379,46.2,9.1,17.6,3.6,0,314,7.5,1,0,1,0,1,0,0,1,0,1,0,0
1871504,榛果可可滿餡麵包,94,1,414,40.7,8.5,24.2,9.7,0,242,14.1,1,1,1,0,1,0,0,0,0,1,0,0
1970360,醇乳香土司,191,2,548,96.3,18.9,9.7,4.6,0,663,13,1,0,1,0,1,0,0,0,0,0,0,0
